Year,NOC,Lagged_Squad_Size,Lagged_NOC_Events_Entered,Lagged_Sport_Diversity,Lagged_Global_Total_Events,Lagged_Global_Nations_Count,Lagged_Share_of_Entries,Lagged_Expected_Share,Lagged_RCA_Macro,Lagged_Specialization_Index,Lagged_Total_Medals,Lagged_2_Total_Medals,Lagged_3_Total_Medals,Is_Host,Has_Medal_before,Total,Gold,Silver,Bronze
1964,ESP,143.0,83.0,16.0,340.0,84.0,0.02465102465102465,0.011904761904761904,2.070686070686071,5.1875,0.0,0.0,1.0,0,1,0,0,0,0
1968,ESP,50.0,35.0,9.0,370.0,93.0,0.010832559579077685,0.010752688172043012,1.0074280408542247,3.888888888888889,0.0,0.0,0.0,0,1,0,0,0,0
1972,ESP,122.0,50.0,12.0,386.0,112.0,0.013572204125950055,0.008928571428571428,1.5200868621064063,4.166666666666667,0.0,0.0,0.0,0,1,1,0,0,1
1976,ESP,122.0,59.0,17.0,439.0,121.0,0.013375651779641805,0.008264462809917356,1.6184538653366582,3.4705882352941178,1.0,0.0,0.0,0,1,2,0,2,0
1980,ESP,113.0,68.0,14.0,444.0,92.0,0.01810436634717785,0.010869565217391304,1.665601703940362,4.857142857142857,2.0,1.0,0.0,0,1,6,1,3,2
1984,ESP,155.0,75.0,18.0,454.0,80.0,0.02348888192922017,0.0125,1.8791105543376134,4.166666666666667,6.0,2.0,1.0,0,1,5,1,2,2
1988,ESP,179.0,104.0,23.0,492.0,140.0,0.02314711773870465,0.007142857142857143,3.2405964834186514,4.521739130434782,5.0,6.0,2.0,0,1,4,1,1,2
1992,ESP,226.0,130.0,24.0,528.0,159.0,0.022526425229596258,0.006289308176100629,3.581701611505805,5.416666666666667,4.0,5.0,6.0,1,1,22,13,7,2
1996,ESP,412.0,195.0,29.0,573.0,168.0,0.031095519055971934,0.005952380952380952,5.224047201403285,6.724137931034483,22.0,4.0,5.0,0,1,17,5,6,6
2000,ESP,284.0,157.0,22.0,604.0,197.0,0.023180274619813968,0.005076142131979695,4.566514100103352,7.136363636363637,17.0,22.0,4.0,0,1,11,3,3,5
2004,ESP,316.0,165.0,27.0,667.0,199.0,0.023504273504273504,0.005025125628140704,4.677350427350428,6.111111111111111,11.0,17.0,22.0,0,1,20,3,11,6
2008,ESP,313.0,155.0,27.0,669.0,201.0,0.02259145897099548,0.004975124378109453,4.540883253170092,5.7407407407407405,20.0,11.0,17.0,0,1,19,5,11,3
2012,ESP,282.0,147.0,29.0,673.0,204.0,0.020771513353115726,0.004901960784313725,4.2373887240356085,5.068965517241379,19.0,20.0,11.0,0,1,20,4,10,6
2016,ESP,278.0,135.0,27.0,670.0,204.0,0.01929949964260186,0.004901960784313725,3.9370979270907793,5.0,20.0,19.0,20.0,0,1,17,7,4,6
2020,ESP,306.0,146.0,28.0,682.0,205.0,0.020566276940414144,0.004878048780487805,4.2160867727849,5.214285714285714,17.0,20.0,19.0,0,1,17,3,8,6
2024,ESP,334.0,146.0,36.0,761.0,205.0,0.021279696837195744,0.004878048780487805,4.362337851625128,4.055555555555555,17.0,17.0,20.0,0,1,18,5,4,9
1920,EST,,,,,,,,,,,,,0,0,3,1,2,0
1924,EST,14.0,19.0,3.0,363.0,29.0,0.015793848711554447,0.034482758620689655,0.45802161263507896,6.333333333333333,3.0,,,0,1,6,1,1,4
1928,EST,37.0,26.0,5.0,292.0,44.0,0.016069221260815822,0.022727272727272728,0.7070457354758961,5.2,6.0,3.0,,0,1,5,2,1,2
1932,EST,20.0,19.0,5.0,252.0,46.0,0.012402088772845953,0.021739130434782608,0.5704960835509139,3.8,5.0,6.0,3.0,0,1,0,0,0,0
1936,EST,2.0,3.0,2.0,268.0,37.0,0.0034285714285714284,0.02702702702702703,0.12685714285714284,1.5,0.0,5.0,6.0,0,1,7,2,2,3
1992,EST,33.0,29.0,8.0,302.0,49.0,0.01407766990291262,0.02040816326530612,0.6898058252427185,3.625,7.0,0.0,5.0,0,1,2,1,0,1
1996,EST,37.0,35.0,13.0,573.0,168.0,0.005581247010046244,0.005952380952380952,0.9376494976877691,2.6923076923076925,2.0,7.0,0.0,0,1,0,0,0,0
2000,EST,43.0,36.0,13.0,604.0,197.0,0.005315222205817215,0.005076142131979695,1.0470987745459914,2.769230769230769,0.0,2.0,7.0,0,1,3,1,0,2
2004,EST,33.0,29.0,11.0,667.0,199.0,0.004131054131054131,0.005025125628140704,0.8220797720797721,2.6363636363636362,3.0,0.0,2.0,0,1,3,0,1,2
2008,EST,42.0,34.0,10.0,669.0,201.0,0.004955545838799009,0.004975124378109453,0.9960647135986008,3.4,3.0,3.0,0.0,0,1,2,1,1,0
2012,EST,47.0,42.0,13.0,673.0,204.0,0.005934718100890208,0.004901960784313725,1.2106824925816024,3.230769230769231,2.0,3.0,3.0,0,1,2,0,1,1
2016,EST,32.0,30.0,11.0,670.0,204.0,0.004288777698355968,0.004901960784313725,0.8749106504646176,2.727272727272727,2.0,2.0,3.0,0,1,1,0,0,1
2020,EST,46.0,31.0,13.0,682.0,205.0,0.004366812227074236,0.004878048780487805,0.8951965065502183,2.3846153846153846,1.0,2.0,2.0,0,1,2,1,0,1
2024,EST,33.0,28.0,15.0,761.0,205.0,0.004081037749599184,0.004878048780487805,0.8366127386678327,1.8666666666666667,2.0,1.0,2.0,0,1,0,0,0,0
1956,ETH,,,,,,,,,,,,,0,0,0,0,0,0
1960,ETH,12.0,10.0,2.0,342.0,72.0,0.004606172270842929,0.013888888888888888,0.3316444035006909,5.0,0.0,,,0,0,0,0,0,0
1964,ETH,10.0,8.0,2.0,340.0,84.0,0.002376002376002376,0.011904761904761904,0.19958419958419957,4.0,0.0,0.0,,0,0,1,1,0,0
1968,ETH,12.0,11.0,3.0,370.0,93.0,0.0034045187248529867,0.010752688172043012,0.3166202414113277,3.6666666666666665,1.0,0.0,0.0,0,1,2,1,1,0
1972,ETH,18.0,13.0,3.0,386.0,112.0,0.003528773072747014,0.008928571428571428,0.3952225841476656,4.333333333333333,2.0,1.0,0.0,0,1,2,0,0,2
1980,ETH,31.0,20.0,3.0,439.0,121.0,0.004534119247336205,0.008264462809917356,0.5486284289276808,6.666666666666667,2.0,2.0,1.0,0,1,4,2,0,2
1992,ETH,41.0,26.0,3.0,454.0,80.0,0.008142812402129659,0.0125,0.6514249921703726,8.666666666666666,4.0,2.0,2.0,0,1,3,1,0,2
1996,ETH,20.0,11.0,2.0,573.0,168.0,0.0017541062031573912,0.005952380952380952,0.29468984213044175,5.5,3.0,4.0,2.0,0,1,3,2,0,1
2000,ETH,18.0,10.0,2.0,604.0,197.0,0.0014764506127270044,0.005076142131979695,0.2908607707072199,5.0,3.0,3.0,4.0,0,1,8,4,1,3
2004,ETH,26.0,11.0,2.0,667.0,199.0,0.0015669515669515669,0.005025125628140704,0.3118233618233618,5.5,8.0,3.0,3.0,0,1,7,2,3,2
2008,ETH,26.0,12.0,2.0,669.0,201.0,0.0017490161783996502,0.004975124378109453,0.3515522518583297,6.0,7.0,8.0,3.0,0,1,7,4,2,1
2012,ETH,27.0,10.0,1.0,673.0,204.0,0.0014130281192595733,0.004901960784313725,0.28825773632895296,10.0,7.0,7.0,8.0,0,1,8,3,2,3
2016,ETH,33.0,14.0,2.0,670.0,204.0,0.0020014295925661185,0.004901960784313725,0.4082916368834882,7.0,8.0,7.0,7.0,0,1,8,1,2,5
2020,ETH,37.0,16.0,3.0,682.0,205.0,0.002253838568812509,0.004878048780487805,0.4620369066065643,5.333333333333333,8.0,8.0,7.0,0,1,4,1,1,2
2024,ETH,37.0,15.0,4.0,761.0,205.0,0.0021862702229995625,0.004878048780487805,0.44818539571491034,3.75,4.0,8.0,8.0,0,1,4,1,3,0
1992,EUN,,,,,,,,,,,,,0,0,112,45,38,29
1956,FIJ,,,,,,,,,,,,,0,0,0,0,0,0
1960,FIJ,5.0,4.0,3.0,342.0,72.0,0.0018424689083371719,0.013888888888888888,0.13265776140027638,1.3333333333333333,0.0,,,0,0,0,0,0,0
1968,FIJ,2.0,3.0,1.0,340.0,84.0,0.000891000891000891,0.011904761904761904,0.07484407484407485,3.0,0.0,0.0,,0,0,0,0,0,0
1972,FIJ,1.0,1.0,1.0,386.0,112.0,0.0002714440825190011,0.008928571428571428,0.030401737242128125,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1976,FIJ,2.0,4.0,1.0,439.0,121.0,0.000906823849467241,0.008264462809917356,0.10972568578553615,4.0,0.0,0.0,0.0,0,0,0,0,0,0
1984,FIJ,2.0,5.0,1.0,444.0,92.0,0.0013312034078807242,0.010869565217391304,0.12247071352502663,5.0,0.0,0.0,0.0,0,0,0,0,0,0
1988,FIJ,14.0,22.0,5.0,492.0,140.0,0.004896505675495215,0.007142857142857143,0.6855107945693302,4.4,0.0,0.0,0.0,0,0,0,0,0,0
1992,FIJ,23.0,31.0,5.0,528.0,159.0,0.005371686016288338,0.006289308176100629,0.8540980765898457,6.2,0.0,0.0,0.0,0,0,0,0,0,0
1996,FIJ,18.0,32.0,4.0,573.0,168.0,0.005102854409185138,0.005952380952380952,0.8572795407431032,8.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,FIJ,17.0,14.0,5.0,604.0,197.0,0.002067030857817806,0.005076142131979695,0.4072050789901078,2.8,0.0,0.0,0.0,0,0,0,0,0,0
2004,FIJ,7.0,9.0,5.0,667.0,199.0,0.001282051282051282,0.005025125628140704,0.2551282051282051,1.8,0.0,0.0,0.0,0,0,0,0,0,0
2008,FIJ,8.0,9.0,6.0,669.0,201.0,0.0013117621337997377,0.004975124378109453,0.26366418889374726,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2012,FIJ,6.0,6.0,5.0,673.0,204.0,0.000847816871555744,0.004901960784313725,0.17295464179737177,1.2,0.0,0.0,0.0,0,0,0,0,0,0
2016,FIJ,9.0,9.0,6.0,670.0,204.0,0.0012866333095067906,0.004901960784313725,0.2624731951393853,1.5,0.0,0.0,0.0,0,0,1,1,0,0
2020,FIJ,53.0,14.0,10.0,682.0,205.0,0.001972108747710945,0.004878048780487805,0.4042822932807437,1.4,1.0,0.0,0.0,0,1,2,1,0,1
2024,FIJ,32.0,8.0,6.0,761.0,205.0,0.0011660107855997668,0.004878048780487805,0.2390322110479522,1.3333333333333333,2.0,1.0,0.0,0,1,1,0,1,0
1908,FIN,,,,,,,,,,,,,0,0,5,1,1,3
1912,FIN,62.0,23.0,6.0,267.0,22.0,0.033973412112259974,0.045454545454545456,0.7474150664697194,3.8333333333333335,5.0,,,0,1,26,9,8,9
1920,FIN,164.0,49.0,10.0,236.0,27.0,0.0539053905390539,0.037037037037037035,1.4554455445544554,4.9,26.0,5.0,,0,1,34,15,10,9
1924,FIN,63.0,51.0,9.0,363.0,29.0,0.04239401496259352,0.034482758620689655,1.2294264339152121,5.666666666666667,34.0,26.0,5.0,0,1,37,14,13,10
1928,FIN,120.0,68.0,11.0,292.0,44.0,0.042027194066749075,0.022727272727272728,1.8491965389369593,6.181818181818182,37.0,34.0,26.0,0,1,25,8,8,9
1932,FIN,69.0,48.0,11.0,252.0,46.0,0.031331592689295036,0.021739130434782608,1.4412532637075717,4.363636363636363,25.0,37.0,34.0,0,1,0,0,0,0
1936,FIN,40.0,36.0,5.0,268.0,37.0,0.04114285714285714,0.02702702702702703,1.522285714285714,7.2,0.0,25.0,37.0,0,1,20,8,6,6
1948,FIN,107.0,69.0,13.0,302.0,49.0,0.03349514563106796,0.02040816326530612,1.64126213592233,5.3076923076923075,20.0,0.0,25.0,0,1,20,8,7,5
1952,FIN,123.0,80.0,15.0,312.0,59.0,0.03618272274988693,0.01694915254237288,2.134780642243329,5.333333333333333,20.0,20.0,0.0,1,1,22,6,3,13
1956,FIN,258.0,139.0,18.0,338.0,69.0,0.04676985195154778,0.014492753623188406,3.227119784656797,7.722222222222222,22.0,20.0,20.0,0,1,15,3,1,11
1960,FIN,71.0,67.0,15.0,342.0,72.0,0.030861354214647627,0.013888888888888888,2.2220175034546292,4.466666666666667,15.0,22.0,20.0,0,1,0,0,0,0
1964,FIN,117.0,92.0,14.0,340.0,84.0,0.027324027324027323,0.011904761904761904,2.2952182952182953,6.571428571428571,0.0,15.0,22.0,0,1,5,3,0,2
1968,FIN,89.0,64.0,13.0,370.0,93.0,0.019808108944599195,0.010752688172043012,1.842154131847725,4.923076923076923,5.0,0.0,15.0,0,1,4,1,2,1
1972,FIN,66.0,61.0,13.0,386.0,112.0,0.016558089033659067,0.008928571428571428,1.8545059717698156,4.6923076923076925,4.0,5.0,0.0,0,1,8,3,1,4
1976,FIN,96.0,75.0,16.0,439.0,121.0,0.017002947177510767,0.008264462809917356,2.057356608478803,4.6875,8.0,4.0,5.0,0,1,6,4,2,0
1980,FIN,83.0,63.0,14.0,444.0,92.0,0.016773162939297124,0.010869565217391304,1.5431309904153354,4.5,6.0,8.0,4.0,0,1,8,3,1,4
1984,FIN,105.0,71.0,16.0,454.0,80.0,0.02223614155966176,0.0125,1.7788913247729405,4.4375,8.0,6.0,8.0,0,1,12,4,2,6
1988,FIN,86.0,76.0,15.0,492.0,140.0,0.016915201424438014,0.007142857142857143,2.368128199421322,5.066666666666666,12.0,8.0,6.0,0,1,4,1,1,2
1992,FIN,78.0,66.0,15.0,528.0,159.0,0.011436492808871946,0.006289308176100629,1.8184023566106393,4.4,4.0,12.0,8.0,0,1,5,1,2,2
1996,FIN,87.0,85.0,16.0,573.0,168.0,0.013554457024398022,0.005952380952380952,2.277148780098868,5.3125,5.0,4.0,12.0,0,1,4,1,2,1
2000,FIN,76.0,74.0,15.0,604.0,197.0,0.010925734534179832,0.005076142131979695,2.1523697032334272,4.933333333333334,4.0,5.0,4.0,0,1,4,2,1,1
2004,FIN,70.0,64.0,16.0,667.0,199.0,0.009116809116809116,0.005025125628140704,1.8142450142450142,4.0,4.0,4.0,5.0,0,1,2,0,2,0
2008,FIN,53.0,53.0,12.0,669.0,201.0,0.007724821454598455,0.004975124378109453,1.5526891123742894,4.416666666666667,2.0,4.0,4.0,0,1,4,1,1,2
2012,FIN,57.0,55.0,14.0,673.0,204.0,0.007771654655927653,0.004901960784313725,1.585417549809241,3.9285714285714284,4.0,2.0,4.0,0,1,3,0,2,1
2016,FIN,56.0,61.0,14.0,670.0,204.0,0.008720514653323803,0.004901960784313725,1.7789849892780558,4.357142857142857,3.0,4.0,2.0,0,1,1,0,0,1
2020,FIN,54.0,55.0,17.0,682.0,205.0,0.007747570080292999,0.004878048780487805,1.5882518664600649,3.235294117647059,1.0,3.0,4.0,0,1,2,0,0,2
2024,FIN,45.0,37.0,11.0,761.0,205.0,0.005392799883398921,0.004878048780487805,1.1055239760967788,3.3636363636363638,2.0,1.0,3.0,0,1,0,0,0,0
1896,FRA,,,,,,,,,,,,,0,0,11,5,4,2
1900,FRA,12.0,18.0,6.0,107.0,12.0,0.10650887573964497,0.08333333333333333,1.2781065088757397,3.0,11.0,,,1,1,103,27,39,37
1904,FRA,715.0,81.0,19.0,236.0,31.0,0.20199501246882792,0.03225806451612903,6.261845386533666,4.2631578947368425,103.0,11.0,,0,1,1,0,1,0
1908,FRA,1.0,2.0,1.0,224.0,15.0,0.0106951871657754,0.06666666666666667,0.16042780748663102,2.0,1.0,103.0,11.0,0,1,19,5,5,9
1912,FRA,208.0,54.0,13.0,267.0,22.0,0.07976366322008863,0.045454545454545456,1.7548005908419497,4.153846153846154,19.0,1.0,103.0,0,1,14,7,4,3
1920,FRA,109.0,61.0,12.0,236.0,27.0,0.0671067106710671,0.037037037037037035,1.811881188118812,5.083333333333333,14.0,19.0,1.0,0,1,41,9,19,13
1924,FRA,303.0,112.0,22.0,363.0,29.0,0.09310058187863675,0.034482758620689655,2.699916874480466,5.090909090909091,41.0,14.0,19.0,1,1,38,13,15,10
1928,FRA,319.0,123.0,19.0,292.0,44.0,0.07601977750309023,0.022727272727272728,3.34487021013597,6.473684210526316,38.0,41.0,14.0,0,1,21,6,10,5
1932,FRA,231.0,104.0,16.0,252.0,46.0,0.06788511749347259,0.021739130434782608,3.1227154046997394,6.5,21.0,38.0,41.0,0,1,0,0,0,0
1936,FRA,65.0,52.0,12.0,268.0,37.0,0.05942857142857143,0.02702702702702703,2.198857142857143,4.333333333333333,0.0,21.0,38.0,0,1,19,7,6,6
1948,FRA,201.0,100.0,18.0,302.0,49.0,0.04854368932038835,0.02040816326530612,2.3786407766990294,5.555555555555555,19.0,0.0,21.0,0,1,29,10,6,13
1952,FRA,283.0,125.0,19.0,312.0,59.0,0.056535504296698326,0.01694915254237288,3.3355947535052013,6.578947368421052,29.0,19.0,0.0,0,1,18,6,6,6
1956,FRA,245.0,131.0,18.0,338.0,69.0,0.04407806191117093,0.014492753623188406,3.0413862718707945,7.277777777777778,18.0,29.0,19.0,0,1,14,4,4,6
1960,FRA,145.0,101.0,16.0,342.0,72.0,0.046522339935513586,0.013888888888888888,3.3496084753569786,6.3125,14.0,18.0,29.0,0,1,0,0,0,0
1964,FRA,238.0,120.0,19.0,340.0,84.0,0.03564003564003564,0.011904761904761904,2.9937629937629944,6.315789473684211,0.0,14.0,18.0,0,1,15,1,8,6
1968,FRA,138.0,89.0,14.0,370.0,93.0,0.027545651501083256,0.010752688172043012,2.5617455896007426,6.357142857142857,15.0,0.0,14.0,0,1,15,7,3,5
1972,FRA,200.0,107.0,16.0,386.0,112.0,0.029044516829533115,0.008928571428571428,3.252985884907709,6.6875,15.0,15.0,0.0,0,1,13,2,4,7
1976,FRA,227.0,132.0,18.0,439.0,121.0,0.029925187032418952,0.008264462809917356,3.620947630922693,7.333333333333333,13.0,15.0,15.0,0,1,9,2,3,4
1980,FRA,206.0,128.0,18.0,444.0,92.0,0.03407880724174654,0.010869565217391304,3.135250266240682,7.111111111111111,9.0,13.0,15.0,0,1,14,6,5,3
1984,FRA,121.0,85.0,13.0,454.0,80.0,0.026620732853116193,0.0125,2.1296586282492953,6.538461538461538,14.0,9.0,13.0,0,1,28,5,7,16
1988,FRA,238.0,139.0,21.0,492.0,140.0,0.030937013131537947,0.007142857142857143,4.331181838415312,6.619047619047619,28.0,14.0,9.0,0,1,16,6,4,6
1992,FRA,266.0,167.0,23.0,528.0,159.0,0.028937792410327498,0.006289308176100629,4.601108993242072,7.260869565217392,16.0,28.0,14.0,0,1,29,8,5,16
1996,FRA,339.0,196.0,25.0,573.0,168.0,0.03125498325625897,0.005952380952380952,5.250837187051507,7.84,29.0,16.0,28.0,0,1,37,15,7,15
2000,FRA,299.0,183.0,25.0,604.0,197.0,0.02701904621290418,0.005076142131979695,5.322752103942124,7.32,37.0,29.0,16.0,0,1,38,13,14,11
2004,FRA,336.0,196.0,28.0,667.0,199.0,0.02792022792022792,0.005025125628140704,5.5561253561253565,7.0,38.0,37.0,29.0,0,1,33,11,9,13
2008,FRA,308.0,193.0,27.0,669.0,201.0,0.028130010202594372,0.004975124378109453,5.6541320507214685,7.148148148148148,33.0,38.0,37.0,0,1,43,7,16,20
2012,FRA,309.0,205.0,25.0,673.0,204.0,0.02896707644482125,0.004901960784313725,5.909283594743536,8.2,43.0,33.0,38.0,0,1,35,11,11,13
2016,FRA,324.0,188.0,28.0,670.0,204.0,0.026876340243030736,0.004901960784313725,5.482773409578271,6.714285714285714,35.0,43.0,33.0,0,1,42,10,18,14
2020,FRA,392.0,202.0,32.0,682.0,205.0,0.028454711931257922,0.004878048780487805,5.833215945907874,6.3125,42.0,35.0,43.0,0,1,33,10,12,11
2024,FRA,396.0,194.0,41.0,761.0,205.0,0.028275761550794344,0.004878048780487805,5.79653111791284,4.7317073170731705,33.0,42.0,35.0,1,1,64,16,26,22
1968,FRG,,,,,,,,,,,,,0,0,26,5,11,10
1972,FRG,275.0,154.0,17.0,386.0,112.0,0.041802388707926165,0.008928571428571428,4.681867535287731,9.058823529411764,26.0,,,1,1,40,13,11,16
1976,FRG,424.0,183.0,23.0,439.0,121.0,0.04148719111312627,0.008264462809917356,5.019950124688279,7.956521739130435,40.0,26.0,,0,1,39,10,12,17
1984,FRG,290.0,163.0,20.0,444.0,92.0,0.043397231096911605,0.010869565217391304,3.992545260915868,8.15,39.0,40.0,26.0,0,1,59,17,19,23
1988,FRG,389.0,194.0,25.0,492.0,140.0,0.04317827732027599,0.007142857142857143,6.0449588248386386,7.76,59.0,39.0,40.0,0,1,40,11,14,15
2000,FSM,,,,,,,,,,,,,0,0,0,0,0,0
2004,FSM,5.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0.0,,,0,0,0,0,0,0
2008,FSM,5.0,5.0,3.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.6666666666666667,0.0,0.0,,0,0,0,0,0,0
2012,FSM,5.0,5.0,3.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2016,FSM,6.0,6.0,4.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2020,FSM,5.0,5.0,3.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2024,FSM,3.0,3.0,2.0,761.0,205.0,0.00043725404459991256,0.004878048780487805,0.08963707914298208,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1972,GAB,,,,,,,,,,,,,0,0,0,0,0,0
1984,GAB,1.0,1.0,1.0,439.0,121.0,0.00022670596236681024,0.008264462809917356,0.02743142144638404,1.0,0.0,,,0,0,0,0,0,0
1988,GAB,4.0,4.0,2.0,492.0,140.0,0.0008902737591809482,0.007142857142857143,0.12463832628533275,2.0,0.0,0.0,,0,0,0,0,0,0
1992,GAB,2.0,2.0,2.0,528.0,159.0,0.00034656038814763474,0.006289308176100629,0.05510310171547392,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1996,GAB,5.0,5.0,3.0,573.0,168.0,0.0007973210014351779,0.005952380952380952,0.13394992824110988,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2000,GAB,7.0,6.0,3.0,604.0,197.0,0.0008858703676362026,0.005076142131979695,0.17451646242433191,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,GAB,5.0,6.0,3.0,667.0,199.0,0.0008547008547008547,0.005025125628140704,0.1700854700854701,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,GAB,5.0,5.0,3.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2012,GAB,4.0,4.0,3.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,1.3333333333333333,0.0,0.0,0.0,0,0,1,0,1,0
2016,GAB,21.0,7.0,5.0,670.0,204.0,0.0010007147962830592,0.004901960784313725,0.2041458184417441,1.4,1.0,0.0,0.0,0,1,0,0,0,0
2020,GAB,6.0,6.0,4.0,682.0,205.0,0.0008451894633046908,0.004878048780487805,0.17326383997746161,1.5,0.0,1.0,0.0,0,1,0,0,0,0
2024,GAB,5.0,5.0,4.0,761.0,205.0,0.0007287567409998542,0.004878048780487805,0.1493951319049701,1.25,0.0,0.0,1.0,0,1,0,0,0,0
1984,GAM,,,,,,,,,,,,,0,0,0,0,0,0
1988,GAM,10.0,9.0,1.0,492.0,140.0,0.0020031159581571333,0.007142857142857143,0.28043623414199864,9.0,0.0,,,0,0,0,0,0,0
1992,GAM,6.0,6.0,2.0,528.0,159.0,0.0010396811644429042,0.006289308176100629,0.16530930514642175,3.0,0.0,0.0,,0,0,0,0,0,0
1996,GAM,5.0,5.0,1.0,573.0,168.0,0.0007973210014351779,0.005952380952380952,0.13394992824110988,5.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,GAM,9.0,6.0,1.0,604.0,197.0,0.0008858703676362026,0.005076142131979695,0.17451646242433191,6.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,GAM,2.0,2.0,1.0,667.0,199.0,0.0002849002849002849,0.005025125628140704,0.05669515669515669,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,GAM,2.0,3.0,1.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,3.0,0.0,0.0,0.0,0,0,0,0,0,0
2012,GAM,3.0,3.0,2.0,673.0,204.0,0.000423908435777872,0.004901960784313725,0.08647732089868589,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2016,GAM,2.0,2.0,1.0,670.0,204.0,0.0002859185132237312,0.004901960784313725,0.05832737669764117,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2020,GAM,4.0,4.0,3.0,682.0,205.0,0.0005634596422031273,0.004878048780487805,0.11550922665164108,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2024,GAM,4.0,5.0,3.0,761.0,205.0,0.0007287567409998542,0.004878048780487805,0.1493951319049701,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
1896,GBR,,,,,,,,,,,,,0,0,7,2,3,2
1900,GBR,10.0,19.0,7.0,107.0,12.0,0.11242603550295859,0.08333333333333333,1.3491124260355032,2.7142857142857144,7.0,,,0,1,31,15,7,9
1904,GBR,104.0,39.0,16.0,236.0,31.0,0.09725685785536159,0.03225806451612903,3.014962593516209,2.4375,31.0,7.0,,0,1,2,1,1,0
1908,GBR,6.0,4.0,3.0,224.0,15.0,0.0213903743315508,0.06666666666666667,0.32085561497326204,1.3333333333333333,2.0,31.0,7.0,1,1,146,56,51,39
1912,GBR,732.0,108.0,24.0,267.0,22.0,0.15952732644017725,0.045454545454545456,3.5096011816838995,4.5,146.0,2.0,31.0,0,1,41,10,15,16
1920,GBR,270.0,76.0,15.0,236.0,27.0,0.08360836083608361,0.037037037037037035,2.2574257425742577,5.066666666666666,41.0,146.0,2.0,0,1,42,14,15,13
1924,GBR,233.0,83.0,20.0,363.0,29.0,0.06899418121363259,0.034482758620689655,2.000831255195345,4.15,42.0,41.0,146.0,0,1,34,9,13,12
1928,GBR,259.0,111.0,17.0,292.0,44.0,0.06860321384425216,0.022727272727272728,3.0185414091470952,6.529411764705882,34.0,42.0,41.0,0,1,20,3,10,7
1932,GBR,192.0,80.0,13.0,252.0,46.0,0.05221932114882506,0.021739130434782608,2.402088772845953,6.153846153846154,20.0,34.0,42.0,0,1,0,0,0,0
1936,GBR,72.0,45.0,9.0,268.0,37.0,0.05142857142857143,0.02702702702702703,1.9028571428571428,5.0,0.0,20.0,34.0,0,1,14,4,7,3
1948,GBR,208.0,91.0,17.0,302.0,49.0,0.0441747572815534,0.02040816326530612,2.1645631067961166,5.352941176470588,14.0,0.0,20.0,1,1,23,3,14,6
1952,GBR,312.0,128.0,19.0,312.0,59.0,0.05789235639981909,0.01694915254237288,3.415649027589326,6.7368421052631575,23.0,14.0,0.0,0,1,11,1,2,8
1956,GBR,256.0,127.0,18.0,338.0,69.0,0.042732166890982505,0.014492753623188406,2.948519515477793,7.055555555555555,11.0,23.0,14.0,0,1,24,6,7,11
1960,GBR,197.0,113.0,18.0,342.0,72.0,0.0520497466605251,0.013888888888888888,3.7475817595578076,6.277777777777778,24.0,11.0,23.0,0,1,0,0,0,0
1964,GBR,253.0,130.0,17.0,340.0,84.0,0.03861003861003861,0.011904761904761904,3.2432432432432434,7.647058823529412,0.0,24.0,11.0,0,1,18,4,12,2
1968,GBR,204.0,124.0,17.0,370.0,93.0,0.03837821108016094,0.010752688172043012,3.5691736304549675,7.294117647058823,18.0,0.0,24.0,0,1,13,5,5,3
1972,GBR,225.0,133.0,16.0,386.0,112.0,0.03610206297502715,0.008928571428571428,4.043431053203041,8.3125,13.0,18.0,0.0,0,1,18,4,5,9
